type,rate,db#,time,#page requests,tuple count,avg
0,80,0,7.135,293,19986,50145.3963775
0,80,1,6.888,288,19751,49921.0797428
0,80,2,7.561,290,19899,50046.391879
0,80,3,7.165,292,20014,49889.1169681
0,80,4,7.05,290,19900,49987.6874874
0,80,5,7.583,294,20012,49987.4074056
0,80,6,7.11,296,20272,50094.1972178
0,80,7,7.018,291,19863,50178.3132457
0,80,8,8.91,288,19684,50115.109937
0,80,9,7.08,292,19948,49979.3624424

0,90,0,7.394,293,22484,50042.0435866
0,90,1,7.078,288,22220,49980.8108461
0,90,2,8.188,290,22386,50002.9218708
0,90,3,7.562,292,22516,49855.9090425
0,90,4,7.248,290,22387,50017.3857596
0,90,5,7.729,294,22513,49910.7176742
0,90,6,7.3,296,22806,49942.107954
0,90,7,7.51,291,22346,50215.4230287
0,90,8,9.805,288,22144,50018.8241962
0,90,9,9.418,292,22442,49935.744185

0,100,0,9.86,293,24982,50031.2302858
0,100,1,7.25,288,24688,49952.2972699
0,100,2,7.244,290,24873,50031.8369316
0,100,3,9.637,292,25017,49853.3421673
0,100,4,7.404,290,24874,50068.229356
0,100,5,8.437,294,25014,49886.6011434
0,100,6,9.073,296,25340,49912.5063536
0,100,7,8.115,291,24828,50311.5764057
0,100,8,7.567,288,24604,49902.9767924
0,100,9,8.412,292,24935,50027.0674955

1,10,0,2.012,30,2561,49050.8891058
1,10,1,2.308,29,2472,49807.2961165
1,10,2,2.039,29,2482,50858.4991942
1,10,3,2.138,30,2577,49473.5902212
1,10,4,1.991,29,2499,50283.5278111
1,10,5,2.089,30,2567,50008.8095053
1,10,6,2.177,30,2562,49356.7166276
1,10,7,2.031,30,2534,50423.3681926
1,10,8,2.144,29,2466,49469.0908354
1,10,9,2.054,30,2577,50806.3527357

1,20,0,4.335,59,5003,49524.7091745
1,20,1,2.606,58,4946,49666.933886
1,20,2,2.603,58,4963,50575.1402378
1,20,3,2.63,59,5074,49940.2774931
1,20,4,3.293,58,4981,49989.6067055
1,20,5,4.073,59,5053,49859.6400158
1,20,6,2.732,60,5073,49827.828701
1,20,7,2.641,59,4981,50062.4384662
1,20,8,2.81,58,4923,49241.1976437
1,20,9,3.028,59,5065,50734.5235933

1,30,0,3.346,88,7484,49878.9402726
1,30,1,3.214,87,7462,50123.1995444
1,30,2,3.343,87,7443,50011.3795513
1,30,3,6.501,88,7513,49891.8441368
1,30,4,3.228,87,7463,50123.6027067
1,30,5,3.557,89,7548,50106.6273185
1,30,6,3.454,89,7618,49874.9631137
1,30,7,3.309,88,7483,50583.5754377
1,30,8,4.701,87,7415,49389.6031018
1,30,9,3.47,88,7539,50387.6856347

1,40,0,5.307,118,10028,49705.6165736
1,40,1,3.946,116,9892,49954.5574201
1,40,2,4.304,116,9953,50195.4579524
1,40,3,6.604,117,10080,49641.3159722
1,40,4,3.913,116,9951,50244.3066024
1,40,5,3.964,118,10066,49989.6187165
1,40,6,4.112,119,10158,50051.920949
1,40,7,3.922,117,9920,49824.2984879
1,40,8,3.961,116,9849,49511.7452533
1,40,9,3.931,117,10022,50264.7103373

1,50,0,4.518,147,12507,50077.9960022
1,50,1,4.923,144,12365,50002.4488476
1,50,2,4.693,145,12468,50045.1694739
1,50,3,4.582,146,12554,49871.0160108
1,50,4,4.724,145,12510,50264.2525979
1,50,5,4.685,147,12546,49907.3705564
1,50,6,4.763,148,12701,49763.3288717
1,50,7,4.541,146,12465,50308.7192138
1,50,8,4.417,144,12335,49972.7233077
1,50,9,4.522,146,12482,50068.2869732

1,60,0,5.581,176,14985,50095.9514848
1,60,1,5.152,173,14825,49845.1123777
1,60,2,5.076,174,14927,50084.0858846
1,60,3,6.798,176,15058,50072.0282242
1,60,4,5.1,174,14966,49857.7917947
1,60,5,5.287,177,15067,49971.2401274
1,60,6,5.324,178,15198,49876.4105145
1,60,7,5.871,175,14914,50358.2468151
1,60,8,8.039,173,14767,49709.5891515
1,60,9,8.105,176,15043,50044.8954331

1,70,0,6.05,206,17577,50022.3083575
1,70,1,5.726,202,17296,49912.1750694
1,70,2,6.061,203,17437,50228.8644836
1,70,3,8.251,205,17599,49874.3028013
1,70,4,5.866,203,17493,50109.9997142
1,70,5,5.743,206,17562,49906.7298144
1,70,6,6.754,208,17797,49804.1332809
1,70,7,7.061,204,17403,50161.2153077
1,70,8,11.089,202,17255,49944.5058824
1,70,9,6.143,205,17490,50029.4866209

1,80,0,6.283,235,20010,50043.1602199
1,80,1,6.134,231,19771,49944.4447929
1,80,2,6.053,232,19917,50017.3782196
1,80,3,6.189,234,20064,49888.9602273
1,80,4,7.586,232,19936,50017.7857143
1,80,5,6.187,236,20080,50008.5366534
1,80,6,6.403,237,20283,49976.4593502
1,80,7,6.127,233,19853,50165.6640306
1,80,8,6.313,231,19693,49727.7340172
1,80,9,7.07,234,20000,49980.39635

1,90,0,11.109,264,22500,50085.1900444
1,90,1,8.073,260,22286,49994.4655389
1,90,2,7.068,261,22398,50086.8208322
1,90,3,8.57,263,22535,49925.9746173
1,90,4,11.6,261,22457,50095.210224
1,90,5,7.452,265,22543,49962.0369072
1,90,6,7.861,267,22853,49877.9031637
1,90,7,6.931,262,22352,50272.8932534
1,90,8,11.396,260,22204,49811.9968474
1,90,9,10.978,263,22452,50060.5964725

1,100,0,7.699,293,24982,50031.2302858
1,100,1,7.359,288,24688,49952.2972699
1,100,2,7.793,290,24873,50031.8369316
1,100,3,12.473,292,25017,49853.3421673
1,100,4,8.145,290,24874,50068.229356
1,100,5,7.401,294,25014,49886.6011434
1,100,6,7.533,296,25340,49912.5063536
1,100,7,7.959,291,24828,50311.5764057
1,100,8,7.387,288,24604,49902.9767924
1,100,9,12.5,292,24935,50027.0674955

